"Name","Id","CPU","MemMB"
"bash","1707","0.14","11.9"
"containerd","73","0.22","47.6"
"docker-init","1","0.07","0.6"
"dockerd","58","0.32","72.7"
"node","590","6.0199999","119.9"
"node","613","32.4","348.4"
"node","629","0.39","59.1"
"node","1042","0.26","60.6"
"node","1049","2.39","74.8"
"pwsh","4299","7.511748","173.3"
"sh","7","0.33","1.5"
"sh","395","0","1.6"
"sh","420","0","1.6"
"sh","581","0","1.8"
"sh","2212","0","1.6"
"sh","2249","0","1.8"
"sleep","13681","0","1.9"
"sshd [listener] 0 of 10-100 startups","35","0","2.6"
